index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
176,Enicostema,https://en.wikipedia.org/?curid=67674296,327,93,1.0,101.97997093200684,2025-11-15T13:35:09.909245,93
177,Stephen Myler,https://en.wikipedia.org/?curid=4170577,3300,450,1.0,101.70674324035645,2025-11-15T13:35:10.011205,450
178,List of current Philippine vice governors,https://en.wikipedia.org/?curid=78918297,2334,394,1.0,101.70888900756836,2025-11-15T13:35:10.113275,394
179,Andrew Smith (Maroon),https://en.wikipedia.org/?curid=58320276,3289,446,1.0,102.40626335144043,2025-11-15T13:35:10.216069,446
180,2018–19 Maltese Division 1,https://en.wikipedia.org/?curid=58547901,598,127,1.0,100.93879699707031,2025-11-15T13:35:10.317242,127
181,Lantung,https://en.wikipedia.org/?curid=78644652,3246,417,1.0,101.86076164245605,2025-11-15T13:35:10.419438,417
182,Brute Force: Cracking the Data Encryption Standard,https://en.wikipedia.org/?curid=2636745,891,208,1.0,101.16791725158691,2025-11-15T13:35:10.520985,208
183,"Nicholas Segrave, 1st Baron Segrave",https://en.wikipedia.org/?curid=10619211,1812,473,1.0,101.88674926757812,2025-11-15T13:35:10.623175,473
184,Frequency domain decomposition,https://en.wikipedia.org/?curid=35036820,3084,249,1.0,101.21607780456543,2025-11-15T13:35:10.724735,249
185,Baliya,https://en.wikipedia.org/?curid=19910225,489,107,1.0,101.0751724243164,2025-11-15T13:35:10.826190,107
186,The Patriots (TV series),https://en.wikipedia.org/?curid=38836468,2702,457,1.0,101.88603401184082,2025-11-15T13:35:10.928467,457
187,Charles Stuart Gregson,https://en.wikipedia.org/?curid=68025412,1150,231,1.0,101.27019882202148,2025-11-15T13:35:11.030135,231
188,Franc Weerwind,https://en.wikipedia.org/?curid=48908648,1994,429,1.0,102.58769989013672,2025-11-15T13:35:11.133124,429
189,"Isayevo, Novlenskoye Rural Settlement, Vologodsky District, Vologda Oblast",https://en.wikipedia.org/?curid=62441710,332,87,1.0,100.87132453918457,2025-11-15T13:35:11.234272,87
190,"Raipur, Sareni",https://en.wikipedia.org/?curid=68490765,2356,489,1.0,101.8517017364502,2025-11-15T13:35:11.336419,489
191,Wadi El Haour,https://en.wikipedia.org/?curid=68524738,333,86,1.0,101.25994682312012,2025-11-15T13:35:11.438083,86
192,Aioiyama Station,https://en.wikipedia.org/?curid=31312827,583,138,1.0,100.9378433227539,2025-11-15T13:35:11.539443,138
193,Duke Keomuka,https://en.wikipedia.org/?curid=4363669,1829,446,1.0,101.59087181091309,2025-11-15T13:35:11.641411,446
194,West Side High School (New Jersey),https://en.wikipedia.org/?curid=14542592,8375,416,1.0,102.33020782470703,2025-11-15T13:35:11.744191,416
195,Progomphus,https://en.wikipedia.org/?curid=12710753,501,124,1.0,100.98719596862793,2025-11-15T13:35:11.845472,124
196,Phoebemima,https://en.wikipedia.org/?curid=44527268,398,122,1.0,100.78954696655273,2025-11-15T13:35:11.946567,122
197,Adelabad,https://en.wikipedia.org/?curid=34674411,266,89,1.0,100.72946548461914,2025-11-15T13:35:12.047624,89
198,1925 Burmese general election,https://en.wikipedia.org/?curid=34773932,1788,364,1.0,101.70722007751465,2025-11-15T13:35:12.149609,364
199,Peter Gabriel,https://en.wikipedia.org/?curid=55896,57160,435,1.0,101.77278518676758,2025-11-15T13:35:12.251676,435
200,Hoo Anthiya Uhoo Anthiya,https://en.wikipedia.org/?curid=44990255,1272,327,1.0,101.6237735748291,2025-11-15T13:35:12.353627,327
201,Lopholatilus,https://en.wikipedia.org/?curid=39581732,533,160,1.0,101.49860382080078,2025-11-15T13:35:12.458255,160
202,Dudley Norton,https://en.wikipedia.org/?curid=74633913,1401,313,1.0,101.92489624023438,2025-11-15T13:35:12.560713,313
